date,year,day,month,week,product,color,size,quantity,salesprice
1454284800,2016,1,2,6,LONG LEGGING,1,XS,1,37.99
1454284800,2016,1,2,6,LONG LEGGING,182,XS,1,37.99
1454284800,2016,1,2,6,JACKETS,1,S,1,39.00
1454284800,2016,1,2,6,PANTS,648,L,1,55.00
1454284800,2016,1,2,6,PANTS,1,L,2,35.75
1454284800,2016,1,2,6,SHORT,1,S,3,26.00
1454284800,2016,1,2,6,SHORT,1,XL,2,26.00
1454284800,2016,1,2,6,LONG LEGGING,06W,L,1,50.00
1454284800,2016,1,2,6,LONG LEGGING,1,L,1,32.50
1454284800,2016,1,2,6,LONG LEGGING,1,M,1,32.50
1454284800,2016,1,2,6,CAPRI,0AM,XS,1,25.00
1454284800,2016,1,2,6,CAPRI,1,XL,1,37.99
1454284800,2016,1,2,6,CAPRI,1,XL,2,32.50
1454284800,2016,1,2,6,LONG LEGGING,1,M,1,32.50
1454284800,2016,1,2,6,LONG LEGGING,1,S,2,50.00
1454284800,2016,1,2,6,LONG LEGGING,1,XS,2,50.00
1454284800,2016,1,2,6,LONG LEGGING,648,L,1,50.00
1454284800,2016,1,2,6,LONG LEGGING,648,M,1,32.50
1454284800,2016,1,2,6,LONG LEGGING,648,S,1,42.50
1454284800,2016,1,2,6,SKORT,1,L,1,45.00
1454284800,2016,1,2,6,PANTS,1,L,1,45.50
1454284800,2016,1,2,6,PANTS,1,L,1,70.00
1454284800,2016,1,2,6,PANTS,1,L,1,70.00
1454284800,2016,1,2,6,PANTS,1,XL,1,70.00
1454284800,2016,1,2,6,PANTS,1,XL,1,70.00
1454284800,2016,1,2,6,PANTS,1,M,2,35.75
1454284800,2016,1,2,6,PANTS,1,XL,4,55.00
1454284800,2016,1,2,6,PANTS,1,XL,2,35.75
1454284800,2016,1,2,6,PANTS,1,XL,2,35.75
1454284800,2016,1,2,6,PANTS,1,XL,1,55.00
1454284800,2016,1,2,6,PANTS,1,S,3,55.00
1454284800,2016,1,2,6,PANTS,1,S,1,35.75
1454284800,2016,1,2,6,PANTS,1,L,1,35.75
1454284800,2016,1,2,6,PANTS,1,L,1,55.00
1454284800,2016,1,2,6,PANTS,1,L,1,55.00
1454284800,2016,1,2,6,PANTS,1,XL,2,55.00
1454284800,2016,1,2,6,PANTS,648,L,1,55.00
1454284800,2016,1,2,6,PANTS,648,M,1,38.50
1454284800,2016,1,2,6,PANTS,1,S,1,30.00
1454284800,2016,1,2,6,PANTS,1,3X,3,33.80
1454284800,2016,1,2,6,PANTS,513,2X,2,33.80
1454284800,2016,1,2,6,S/S TOP,1,0X,1,23.40
1454284800,2016,1,2,6,CAPRI,106,M,1,42.00
1454284800,2016,1,2,6,CAPRI,0AK,M,1,42.00
1454284800,2016,1,2,6,CAPRI,46X,M,1,42.00
1454284800,2016,1,2,6,TANK,1,M,1,34.00
1454284800,2016,1,2,6,TANK,1,S,1,40.00
1454284800,2016,1,2,6,LONG LEGGING,1,XS,1,29.25
1454284800,2016,1,2,6,LONG LEGGING,773,L,1,33.99
1454284800,2016,1,2,6,LONG LEGGING,02O,XL,1,33.99
1454284800,2016,1,2,6,LONG LEGGING,04O,M,1,22.09
1454284800,2016,1,2,6,LONG LEGGING,05V,M,1,45.00
1454284800,2016,1,2,6,LONG LEGGING,182,XL,1,33.99
1454284800,2016,1,2,6,LONG LEGGING,01V,L,1,29.25
1454284800,2016,1,2,6,CAPRI,21E,M,1,20.79
1454284800,2016,1,2,6,LONG LEGGING,303,S,2,31.50
1454284800,2016,1,2,6,CAPRI,0CR,L,2,27.30
1454284800,2016,1,2,6,LONG LEGGING,1,M,1,45.00
1454284800,2016,1,2,6,LONG LEGGING,303,M,1,45.00
1454284800,2016,1,2,6,CAPRI,29O,S,1,35.70
1454284800,2016,1,2,6,LONG LEGGING,07Z,L,2,29.25
1454284800,2016,1,2,6,LONG LEGGING,31P,L,1,29.25
1454284800,2016,1,2,6,TANK,42H,M,1,13.59
1454284800,2016,1,2,6,TANK,42H,M,1,13.59
1454284800,2016,1,2,6,TANK,42H,S,1,10.39
1454284800,2016,1,2,6,TANK,21E,XS,1,40.79
1454284800,2016,1,2,6,TANK,22E,L,1,16.15
1454284800,2016,1,2,6,S/S TOP,24E,L,1,25.50
1454284800,2016,1,2,6,S/S TOP,93C,L,1,19.50
1454284800,2016,1,2,6,S/S TOP,93C,L,1,25.50
1454284800,2016,1,2,6,TANK,21E,M,1,26.34
1454284800,2016,1,2,6,TANK,22G,M,1,13.59
1454284800,2016,1,2,6,TANK,35E,M,1,13.59
1454284800,2016,1,2,6,SPORTBRA CUT AND SEW,20G,S,1,17.54
1454284800,2016,1,2,6,S/S TOP,513,L,1,19.50
1454284800,2016,1,2,6,PANTS,1,L,2,45.00
1454284800,2016,1,2,6,PANTS,1,S,1,45.00
1454284800,2016,1,2,6,LONG LEGGING,668,M,1,45.00
1454284800,2016,1,2,6,SHORT,1,M,1,22.75
1454284800,2016,1,2,6,HEAD BAND,1,ONE,1,4.54
1454284800,2016,1,2,6,SPORTBRA CUT AND SEW,903,S,1,29.25
1454284800,2016,1,2,6,SPORTBRA CUT AND SEW,3,XL,1,29.25
1454284800,2016,1,2,6,SPORTBRA CUT AND SEW,17,L,1,29.25
1454284800,2016,1,2,6,SHORT,1,M,1,30.00
1454284800,2016,1,2,6,LONG LEGGING,1,XL,2,29.25
1454284800,2016,1,2,6,CAPRI,1,M,1,42.00
1454284800,2016,1,2,6,CAPRI,999,M,1,42.00
1454284800,2016,1,2,6,PANTS,1,L,1,42.00
1454284800,2016,1,2,6,PANTS,1,M,2,27.30
1454284800,2016,1,2,6,PANTS,1,M,1,42.00
1454284800,2016,1,2,6,PANTS,1,M,1,27.30
1454284800,2016,1,2,6,PANTS,1,XL,1,27.30
1454284800,2016,1,2,6,PANTS,1,XL,1,42.00
1454284800,2016,1,2,6,PANTS,1,M,2,42.00
1454284800,2016,1,2,6,PANTS,1,M,1,42.00
